id,abs_magnitude,min_est_diameter,max_est_diameter,relative_velocity
3698476,24.8,0.0291443905,0.0651688382,27250.007181125
3606252,20.6,0.2016299194,0.4508582062,67250.2329044824
3600242,19.9,0.2783267681,0.6223575734,142613.3484392713
3742049,21.6,0.1272198785,0.2844722965,60384.9341050445
3751527,25.8,0.0183888672,0.0411187571,22779.5791062883
2413577,20.3,0.2315021222,0.5176544822,104479.9778381306
3402198,24.6,0.0319561887,0.0714562102,38073.2523561889
3549618,21.0,0.1677084622,0.3750075218,47673.4490679298
3552653,21.9,0.1108038821,0.2477650126,23987.9551373657
3608934,19.2,0.3841978911,0.8590926012,20184.9267088822
2434326,18.4,0.5553349116,1.2417666126,72315.4374809842
2138947,18.7,0.4836764882,1.0815335068,24679.9869006496
3601274,21.3,0.1460679643,0.3266178974,89479.8740648023
3735995,27.2,0.0096506147,0.0215794305,22401.4263560795
2382406,20.5,0.2111324448,0.4721064988,59175.0740772734
3691712,25.0,0.02658,0.0594346868,15184.6635071361
2299582,18.0,0.6676594135,1.4929318344,72035.2287055742
2309214,20.4,0.2210828104,0.4943561926,24006.7797462887
2004769,16.9,1.1080388213,2.4776501261,80102.6094281958
3666431,24.7,0.0305179233,0.0682401509,29028.4727067253
3102758,21.5,0.1332155667,0.2978790628,51849.8491710586
3336867,22.6,0.0802703167,0.1794898848,28460.1249425179
3704144,23.4,0.0555334912,0.1241766613,11556.524014049
3440397,20.1,0.2538370294,0.5675968529,112062.8027896715
3143084,24.3,0.0366906138,0.0820427065,45330.2544143606
3728574,25.4,0.022108281,0.0494356193,18049.0331508903
3771633,26.692,0.0121942467,0.0272671645,22186.4465504222
3013039,20.8,0.1838886721,0.411187571,64391.487966751
3550041,23.1,0.063760979,0.1425738833,56830.8968698201
3759005,26.3,0.0146067964,0.0326617897,57659.0191078586
3714452,20.6,0.2016299194,0.4508582062,85563.8955112723
3698489,26.5,0.0133215567,0.0297879063,27971.7904794871
3448069,22.8,0.0732073989,0.1636967205,42003.6823083186
3408697,22.9,0.0699125232,0.1563291544,17336.6121920187
2385186,17.7,0.7665755735,1.7141150923,44802.5884177892
3766334,23.0,0.0667659413,0.1492931834,36446.1577133148
3685808,19.7,0.3051792326,0.6824015094,70678.2402888682
2482533,19.7,0.3051792326,0.6824015094,70168.5045681674
3367027,18.8,0.4619074603,1.0328564805,110935.0117831579
3522123,20.8,0.1838886721,0.411187571,40225.4488653552
3182184,25.3,0.0231502122,0.0517654482,13223.8152231097
3752445,24.183,0.03872175,0.0865844652,15351.3219127977
2488490,21.7,0.1214940408,0.2716689341,28491.753680544
3364640,23.2,0.0608912622,0.1361570015,48438.3630770867
3766361,22.5,0.0840533402,0.1879489824,53848.425393445
2152671,20.1,0.2538370294,0.5675968529,26522.7100979012
3177202,25.7,0.0192555078,0.0430566244,45133.2203297486
3552665,23.7,0.0483676488,0.1081533507,32476.5331710091
3662636,21.3,0.1460679643,0.3266178974,51869.3998375004
3393169,20.0,0.2658,0.5943468684,92090.6601731651
3723951,20.5,0.2111324448,0.4721064988,116459.9662847533
2138258,19.1,0.4023045798,0.8995803882,75434.0692764892
3443811,21.8,0.1160259082,0.2594418179,44721.0390076369
3429846,20.8,0.1838886721,0.411187571,32113.8201793311
2458116,20.3,0.2315021222,0.5176544822,51302.6828527972
3385825,23.6,0.0506471459,0.1132504611,24306.7441302779
3522123,20.8,0.1838886721,0.411187571,46704.1384403312
2005604,17.2,0.9650614696,2.1579430484,45830.8146851521
2333578,20.2,0.2424124811,0.5420507863,68139.4664854346
3127389,22.4,0.0880146521,0.1968067451,49788.5611157816
2470975,21.4,0.1394938229,0.3119176705,15711.3934797969
2477719,25.2,0.0242412481,0.0542050786,17961.99341909
3174201,20.4,0.2210828104,0.4943561926,69098.2854897564
3256319,21.3,0.1460679643,0.3266178974,51208.4080797415
3722517,23.6,0.0506471459,0.1132504611,29769.8802437066
3388081,21.4,0.1394938229,0.3119176705,140611.5087226308
3741563,25.0,0.02658,0.0594346868,26807.4148733965
2494710,20.7,0.1925550782,0.4305662442,56241.8760700912
2489486,19.4,0.3503926411,0.7835017643,33497.5158868348
