asteroid_id,orbit_id,min_orbit_inter,perihelion_dist,inclination
2267729,74,0.0339574,0.7491632650034354,5.825998314855387
3752729,36,0.0291767,0.6134824358450043,11.36627628182762
2265482,55,0.017889,0.7588629112636608,6.17219174411252
3723951,11,0.0484137,0.5551324637738538,12.27143257831406
3388081,22,0.0169751,0.2989093698787102,2.121513559909611
3776278,9,0.0484508,0.7127253788015571,18.60926331792147
2022753,192,0.0336461,0.5244030387950266,3.203452172386887
3756758,23,0.0240427,0.8607496533201925,13.72909846071964
3078262,15,0.0358974,0.8862878860224328,30.07353774606891
3739011,24,0.00550595,0.4813319584276791,7.189322327629749
2085236,78,0.00118835,0.8499770130515989,12.80492879466548
2354182,34,0.00658933,0.8725829214290094,8.701003532177795
3028805,33,0.0441545,0.962832659481646,11.55080657688733
3019647,16,0.0242275,0.3181799659904349,19.80369423949089
3102728,47,0.00641952,0.438267210349126,29.89071890738428
2164202,73,0.0241636,0.712283766806244,4.669720186458235
3755345,21,0.0266238,0.9389033193711358,29.92221234429334
2226514,54,0.0151298,0.4207011802153245,2.56444984535932
2450894,67,0.0108398,0.9030265439129112,8.133827451369825
3299947,18,0.0303256,0.7719219204361555,25.24894566737819
3438960,18,0.00433264,0.4025795013051075,1.951982128285022
2401954,34,0.0160302,0.589258429425983,1.327445308802628
3559842,13,0.0251441,0.3349008717965924,6.759681515130592
2367248,51,0.0329288,0.8814110138728752,19.87996921022646
3521439,30,0.0301536,0.9795461416797736,17.72463542097761
2085990,229,0.0311616,0.6941859374966813,5.319084389582808
3373683,44,0.0215286,0.924256148461097,15.08972042172532
3744790,6,0.0463696,0.3777630652239338,23.86194498791281
3606220,32,0.0271048,0.9615854421367206,4.627261809449881
2468910,28,0.0409294,0.5809498203602207,4.774411821602036
3022970,33,0.0285212,0.5622640072554468,23.55837363268557
2455184,41,0.0352052,0.3618806316801499,13.77751285862119
3720978,35,0.0182368,1.030656952277271,21.28546587467291
3772396,11,0.0225268,0.856628904249931,22.92432496700047
2494710,47,0.042475,0.5088157411032229,6.315565367377403
2458116,31,0.00596999,0.4476656049198451,20.53373299942401
3350632,34,0.0155214,0.3974176168802507,5.471217844637127
3699506,10,0.0261735,0.6148091850333957,7.236622593868058
3685808,13,0.0189675,0.5644125962840197,6.439916738771519
3013039,13,0.0311557,0.7713808107731179,6.791159234373215
3711785,45,0.022444,1.02118061847509,5.381584727615558
2490354,32,0.00409967,0.7165275315924485,0.5536382196600321
2487577,49,0.00179278,0.7365414316271893,10.91735516746956
3606252,64,0.0367835,1.045627499424735,4.835215901038818
2357022,71,0.0430734,0.8613718082600882,34.51688657567774
3758927,10,0.033471,0.9497097630656895,25.28810622581625
3644702,43,0.0393898,0.4686631606203278,29.29023187104017
2365014,52,0.0320976,0.4170999595562438,6.648499539634175
3766185,21,0.0345777,0.7452748797979979,9.099459740631136
2152680,28,0.00539934,0.5215224608699002,10.93037626309689
2279744,39,0.00250782,0.6503364835886614,4.660296203981773
3666411,9,0.0262721,0.9104241129577448,15.16990873187237
3558387,26,0.0439084,0.8021016114934914,20.11205823947074
3025766,24,0.00767126,0.6182440292940176,2.031544612122285
2388945,82,0.017126,0.9691782251128648,8.80682264839607
2468727,29,0.0343851,0.5092222499425508,16.9208815716098
2208115,29,0.0133526,0.838391284046284,23.29340240797193
2467336,70,0.0345092,0.5798814826488176,6.195574898296003
3472299,10,0.0142423,0.5597906255803291,42.0487345716077
2090416,121,0.00197078,0.8608344830581066,7.83911684920814
3508146,15,0.0175511,0.4100574659678637,11.93390056675077
2438661,35,0.0460421,0.8546614165851745,17.71974606451513
2006037,72,0.0242774,0.6358914336021141,3.499763217297274
2378160,48,0.0282692,0.641437945161454,11.64345008786734
3152317,19,0.0254945,0.713301734092209,17.02033806514454
3550084,15,0.0409558,0.7119939019278015,55.23224175569872
2418094,72,0.0173652,0.8306437268028587,38.33273767242434
2455176,29,0.0346675,0.3431862990106985,3.908082421172836
3736502,17,0.021474,0.9481539943110529,8.06125106528225
2152671,77,0.0454035,0.7156624102414193,2.679506950145568
2163818,84,0.026241,0.7935942182327171,10.38987494598176
3557843,30,0.00112508,0.909141550144224,10.59425476390672
3025767,32,0.0181098,0.7476457502792913,2.409314764131289
3666783,13,0.0449381,0.5482644200232192,19.1976308267857
2001566,102,0.035204,0.1866902063120976,22.85205337360073
3273524,10,0.0411356,0.8406757173252701,4.611162827004524
2066391,212,0.0137915,0.2000018608245277,38.88383939170367
2418849,39,0.0357698,0.8975029217573987,33.52410010026813
2141851,96,0.0379183,0.17955779782856,19.17587248676405
2162882,81,0.0328837,0.4637279372243467,6.497317857906793
2382406,28,0.00471821,0.2863228434752441,2.536137197765501
3182172,36,0.03227,0.6564641733475574,32.82909970238478
